[0mroot [6] TPulse->Scan("trigtime:time:ToT"[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[D[0m[38;5;83m[1m([0m"trigtime:time:ToT"[0m[38;5;83m[1m)
[0m***********************************************************
*    Row   * Instance *  trigtime *      time *       ToT *
*      296 *        0 *         0 *      4367 *        83 *
*      296 *        1 *         0 *      4495 *        83 *
*      297 *        0 *         0 *      4233 *        83 *
*      298 *        0 *         0 *      4231 *        84 *
*      299 *        0 *         0 *      4233 *        83 *
*      300 *        0 *         0 *      4235 *        84 *
*      301 *        0 *         0 *      4233 *        84 *
*      302 *        0 *         0 *      4237 *        84 *
*      303 *        0 *         0 *      4235 *        84 *
*      304 *        0 *         0 *      4232 *        83 *
*      305 *        0 *         0 *      4237 *        83 *
*      306 *        0 *         0 *      4237 *        83 *
*      307 *        0 *         0 *      4235 *        83 *
*      308 *        0 *         0 *      4239 *        84 *
*      309 *        0 *         0 *      4233 *        83 *
*      310 *        0 *         0 *      4235 *        83 *
*      311 *        0 *         0 *      4232 *        84 *
*      312 *        0 *         0 *      4238 *        83 *
*      313 *        0 *         0 *      4236 *        84 *
*      314 *        0 *         0 *      4234 *        83 *
*      315 *        0 *         0 *      4233 *        83 *
*      316 *        0 *         0 *      4343 *        83 *
*      316 *        1 *         0 *      4443 *        83 *
*      317 *        0 *         0 *      4237 *        83 *
*      318 *        0 *         0 *      4238 *        83 *
*      319 *        0 *         0 *      4237 *        83 *
*      320 *        0 *         0 *      4237 *        83 *
*      321 *        0 *         0 *      4237 *        83 *
*      322 *        0 *         0 *      4236 *        83 *
*      323 *        0 *         0 *      4236 *        83 *
*      324 *        0 *         0 *      4232 *        84 *
*      325 *        0 *         0 *      4232 *        84 *
*      326 *        0 *         0 *      4234 *        83 *
*      327 *        0 *         0 *      4234 *        84 *
*      328 *        0 *         0 *      4232 *        83 *
*      329 *        0 *         0 *      4235 *        84 *
*      330 *        0 *         0 *      4235 *        83 *
*      331 *        0 *         0 *      4239 *        83 *
*      332 *        0 *         0 *      4234 *        84 *
*      333 *        0 *         0 *      4237 *        83 *
*      334 *        0 *         0 *      4233 *        84 *
*      335 *        0 *         0 *      4231 *        83 *
*      336 *        0 *         0 *      4235 *        83 *
*      337 *        0 *         0 *      4232 *        83 *
*      338 *        0 *         0 *      4235 *        83 *
*      339 *        0 *         0 *      4238 *        84 *
*      339 *        1 *         0 *      4324 *        82 *
*      340 *        0 *         0 *      4237 *        83 *
*      341 *        0 *         0 *      4231 *        83 *
*      342 *        0 *         0 *      4231 *        83 *
*      343 *        0 *         0 *      4235 *        83 *
*      344 *        0 *         0 *      4238 *        83 *
*      345 *        0 *         0 *      4236 *        83 *
*      346 *        0 *         0 *      4234 *        83 *
*      347 *        0 *         0 *      4239 *        83 *
*      348 *        0 *         0 *      4237 *        83 *
*      349 *        0 *         0 *      4236 *        83 *
*      350 *        0 *         0 *      4234 *        83 *
*      351 *        0 *         0 *      4238 *        84 *
*      352 *        0 *         0 *      4235 *        84 *
*      353 *        0 *         0 *      4235 *        84 *
*      354 *        0 *         0 *      4234 *        83 *
*      355 *        0 *         0 *      4236 *        83 *
*      356 *        0 *         0 *      4237 *        83 *
*      357 *        0 *         0 *      4235 *        83 *
*      358 *        0 *         0 *      4234 *        83 *
*      359 *        0 *         0 *      4236 *        83 *
*      360 *        0 *         0 *      4237 *        84 *
*      361 *        0 *         0 *      4237 *        83 *
*      362 *        0 *         0 *      4232 *        83 *
*      363 *        0 *         0 *      4236 *        83 *
*      364 *        0 *         0 *      3117 *        83 *
*      364 *        1 *         0 *      8223 *        84 *
*      365 *        0 *         0 *      4233 *        83 *
*      366 *        0 *         0 *      4239 *        83 *
*      367 *        0 *         0 *      4236 *        84 *
*      368 *        0 *         0 *      4234 *        84 *
*      369 *        0 *         0 *      4238 *        84 *
*      370 *        0 *         0 *      4233 *        84 *
*      371 *        0 *         0 *      4235 *        83 *
*      372 *        0 *         0 *      4235 *        83 *
*      373 *        0 *         0 *      4237 *        84 *
*      374 *        0 *         0 *      4237 *        84 *
*      375 *        0 *         0 *      4231 *        84 *
*      376 *        0 *         0 *      4234 *        83 *
*      377 *        0 *         0 *      4236 *        83 *
*      378 *        0 *         0 *      4233 *        83 *
*      379 *        0 *         0 *      4378 *        84 *
*      379 *        1 *         0 *      4520 *        84 *
*      380 *        0 *         0 *      4236 *        83 *
*      381 *        0 *         0 *      4232 *        84 *
*      382 *        0 *         0 *      4237 *        83 *
*      383 *        0 *         0 *      4232 *        83 *
*      384 *        0 *         0 *      3590 *        83 *
*      384 *        1 *         0 *      8696 *        84 *
*      385 *        0 *         0 *      2058 *        83 *
*      386 *        0 *         0 *      4235 *        84 *
*      387 *        0 *         0 *      4234 *        83 *
*      388 *        0 *         0 *      4239 *        83 *
*      389 *        0 *         0 *      4236 *        83 *
*      390 *        0 *         0 *      4234 *        83 *
*      391 *        0 *         0 *      4238 *        83 *
*      392 *        0 *         0 *      4237 *        83 *
*      393 *        0 *         0 *      4238 *        83 *
*      394 *        0 *         0 *      4233 *        83 *
*      395 *        0 *         0 *      4231 *        84 *
*      396 *        0 *         0 *      4238 *        83 *
*      397 *        0 *         0 *      4234 *        83 *
*      398 *        0 *         0 *      4238 *        84 *
*      399 *        0 *         0 *      4237 *        84 *
*      400 *        0 *         0 *      4234 *        83 *
*      401 *        0 *         0 *      4234 *        83 *
*      402 *        0 *         0 *      2005 *        83 *
*      402 *        1 *         0 *      7116 *        83 *
*      403 *        0 *         0 *      4238 *        83 *
*      404 *        0 *         0 *      4237 *        84 *
*      405 *        0 *         0 *      4235 *        83 *
*      406 *        0 *         0 *      4237 *        83 *
*      407 *        0 *         0 *      4237 *        84 *
*      408 *        0 *         0 *      4237 *        83 *
*      409 *        0 *         0 *      4236 *        83 *
*      410 *        0 *         0 *      4232 *        83 *
*      411 *        0 *         0 *      4233 *        83 *
*      412 *        0 *         0 *      4232 *        83 *
*      413 *        0 *         0 *      4235 *        83 *
*      414 *        0 *         0 *      4233 *        83 *
*      415 *        0 *         0 *      4236 *        84 *
*      416 *        0 *         0 *      4235 *        83 *
*      417 *        0 *         0 *      4232 *        84 *
*      418 *        0 *         0 *      4235 *        83 *
*      419 *        0 *         0 *      4234 *        83 *
*      420 *        0 *         0 *      4235 *        83 *
*      421 *        0 *         0 *      4237 *        83 *
*      422 *        0 *         0 *      4235 *        84 *
*      423 *        0 *         0 *      4238 *        83 *
*      424 *        0 *         0 *      4236 *        84 *
*      425 *        0 *         0 *      4234 *        83 *
*      426 *        0 *         0 *      4238 *        83 *
*      427 *        0 *         0 *      4237 *        83 *
*      428 *        0 *         0 *      4350 *        84 *
*      428 *        1 *         0 *      4456 *        83 *
*      429 *        0 *         0 *      4236 *        84 *
*      430 *        0 *         0 *      4232 *        83 *
*      431 *        0 *         0 *      4237 *        83 *
*      432 *        0 *         0 *      4236 *        84 *
*      433 *        0 *         0 *      4236 *        83 *
*      434 *        0 *         0 *      4236 *        83 *
*      435 *        0 *         0 *      4235 *        84 *
*      436 *        0 *         0 *      4239 *        83 *
*      437 *        0 *         0 *      4238 *        83 *
*      438 *        0 *         0 *      4236 *        83 *
*      439 *        0 *         0 *      4234 *        83 *
*      440 *        0 *         0 *      4234 *        83 *
*      441 *        0 *         0 *      4239 *        83 *
*      442 *        0 *         0 *      4231 *        83 *
*      443 *        0 *         0 *      4233 *        83 *
*      444 *        0 *         0 *      4235 *        83 *
*      445 *        0 *         0 *      4234 *        84 *
*      446 *        0 *         0 *      4233 *        83 *
*      447 *        0 *         0 *      4232 *        83 *
*      448 *        0 *         0 *      4233 *        83 *
*      449 *        0 *         0 *      4232 *        83 *
*      450 *        0 *         0 *      4238 *        83 *
*      451 *        0 *         0 *      4231 *        83 *
*      452 *        0 *         0 *      4231 *        84 *
*      453 *        0 *         0 *      4237 *        83 *
*      454 *        0 *         0 *      4232 *        83 *
*      455 *        0 *         0 *      4234 *        83 *
*      456 *        0 *         0 *      4234 *        83 *
*      457 *        0 *         0 *      4232 *        84 *
*      458 *        0 *         0 *      4235 *        83 *
*      459 *        0 *         0 *      4237 *        83 *
*      460 *        0 *         0 *      4233 *        83 *
*      461 *        0 *         0 *        17 *        79 *
*      461 *        1 *         0 *      4334 *        84 *
*      461 *        2 *         0 *      4431 *        83 *
*      462 *        0 *         0 *         0 *         4 *
*      463 *        0 *         0 *      4232 *        83 *
*      464 *        0 *         0 *      4238 *        83 *
*      465 *        0 *         0 *      4238 *        83 *
